population	model	experiment	year	tasmax	tasmin	ppt
BH	cnrm-esm2-1	ssp245	2057	310.9276	274.96716	205.6446644710377
BH	cnrm-esm2-1	ssp245	2058	308.06613	276.5015	801.8198883393698
BH	cnrm-esm2-1	ssp245	2059	311.2099	279.01764	1079.2187563434607
BH	cnrm-esm2-1	ssp245	2060	311.2187	275.6911	1250.5833096219799
BH	cnrm-esm2-1	ssp245	2061	310.94336	276.79663	575.9632295463234
BH	cnrm-esm2-1	ssp245	2062	310.3142	274.303	958.2777462957774
BH	cnrm-esm2-1	ssp245	2063	311.49744	276.83438	550.3753090771994
BH	cnrm-esm2-1	ssp245	2064	311.9531	274.8059	669.6719540341292
BH	cnrm-esm2-1	ssp245	2065	310.26575	275.63138	374.5033976621926
BH	cnrm-esm2-1	ssp245	2066	311.01587	277.93173	717.637131060457
BH	cnrm-esm2-1	ssp245	2067	311.58386	275.37997	1016.0789325716523
BH	cnrm-esm2-1	ssp245	2068	311.72543	276.05295	738.2144265342492
BH	cnrm-esm2-1	ssp245	2069	311.18497	276.38455	338.0350497784093
BH	cnrm-esm2-1	ssp245	2070	312.79373	278.36246	719.5729427039623
BH	cnrm-esm2-1	ssp370	2041	312.2768	276.33066	663.8401241507381
BH	cnrm-esm2-1	ssp370	2042	308.59198	275.1162	613.8803430832922
BH	cnrm-esm2-1	ssp370	2043	309.99557	274.5396	653.4251072793268
BH	cnrm-esm2-1	ssp370	2044	311.41306	275.7122	500.6330751333735
BH	cnrm-esm2-1	ssp370	2045	310.86578	274.7203	885.7705124508208
BH	cnrm-esm2-1	ssp370	2046	309.60162	277.10794	478.3100255554018
BH	cnrm-esm2-1	ssp370	2047	310.38293	273.34985	606.480138679035
BH	cnrm-esm2-1	ssp370	2048	308.44034	275.5706	568.0938420351595
BH	cnrm-esm2-1	ssp370	2049	311.00824	278.4411	814.2239619512019
BH	cnrm-esm2-1	ssp370	2050	309.54892	276.0129	786.6718413148192
BH	cnrm-esm2-1	ssp370	2051	310.5267	276.61914	859.8660348448686
BH	cnrm-esm2-1	ssp370	2052	310.07034	275.84573	607.3743273387663
BH	cnrm-esm2-1	ssp370	2053	311.64047	278.06168	896.3296704227105
BH	cnrm-esm2-1	ssp370	2054	309.52463	277.21732	715.5737049411982
BH	cnrm-esm2-1	ssp370	2055	312.31802	274.564	643.1438310071644
BH	cnrm-esm2-1	ssp370	2056	312.07513	275.88934	657.8501895186433
BH	cnrm-esm2-1	ssp370	2057	310.6376	274.41852	810.9754257719032
BH	cnrm-esm2-1	ssp370	2058	311.09348	277.25806	403.832959709689
BH	cnrm-esm2-1	ssp370	2059	310.16183	275.997	552.8139207337517
