id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmin	year	HadGEM2-ES	historical	none	1966-12-31	279.7042541504
BH	tasmin	year	HadGEM2-ES	historical	none	1967-12-31	279.530670166
BH	tasmin	year	HadGEM2-ES	historical	none	1968-12-31	280.4326782227
BH	tasmin	year	HadGEM2-ES	historical	none	1969-12-31	281.1433105469
BH	tasmin	year	HadGEM2-ES	historical	none	1970-12-31	280.3635253906
BH	tasmin	year	HadGEM2-ES	historical	none	1971-12-31	279.7085876465
BH	tasmin	year	HadGEM2-ES	historical	none	1972-12-31	280.0333557129
BH	tasmin	year	HadGEM2-ES	historical	none	1973-12-31	280.0331115723
BH	tasmin	year	HadGEM2-ES	historical	none	1974-12-31	279.4640197754
BH	tasmin	year	HadGEM2-ES	historical	none	1975-12-31	279.3833312988
BH	tasmin	year	HadGEM2-ES	historical	none	1976-12-31	280.2142333984
BH	tasmin	year	HadGEM2-ES	historical	none	1977-12-31	280.7802429199
BH	tasmin	year	HadGEM2-ES	historical	none	1978-12-31	280.7434997559
BH	tasmin	year	HadGEM2-ES	historical	none	1979-12-31	279.6452636719
BH	tasmin	year	HadGEM2-ES	historical	none	1980-12-31	279.8664245605
BH	tasmin	year	HadGEM2-ES	historical	none	1981-12-31	279.4103393555
BH	tasmin	year	HadGEM2-ES	historical	none	1982-12-31	279.5458679199
BH	tasmin	year	HadGEM2-ES	historical	none	1983-12-31	279.4125671387
BH	tasmin	year	HadGEM2-ES	historical	none	1984-12-31	279.8742675781
BH	tasmin	year	HadGEM2-ES	historical	none	1985-12-31	279.2548522949
BH	tasmin	year	HadGEM2-ES	historical	none	1986-12-31	281.0285949707
BH	tasmin	year	HadGEM2-ES	historical	none	1987-12-31	280.233795166
BH	tasmin	year	HadGEM2-ES	historical	none	1988-12-31	280.0462036133
BH	tasmin	year	HadGEM2-ES	historical	none	1989-12-31	280.619720459
BH	tasmin	year	HadGEM2-ES	historical	none	1990-12-31	280.1694335938
BH	tasmin	year	HadGEM2-ES	historical	none	1991-12-31	280.2930297852
BH	tasmin	year	HadGEM2-ES	historical	none	1992-12-31	280.1062011719
BH	tasmin	year	HadGEM2-ES	historical	none	1993-12-31	280.2459411621
BH	tasmin	year	HadGEM2-ES	historical	none	1994-12-31	280.6241455078
BH	tasmin	year	HadGEM2-ES	historical	none	1995-12-31	280.9211730957
BH	tasmin	year	HadGEM2-ES	historical	none	1996-12-31	280.1176147461
BH	tasmin	year	HadGEM2-ES	historical	none	1997-12-31	281.3553771973
BH	tasmin	year	HadGEM2-ES	historical	none	1998-12-31	281.0284423828
BH	tasmin	year	HadGEM2-ES	historical	none	1999-12-31	279.9580383301
BH	tasmin	year	HadGEM2-ES	historical	none	2000-12-31	280.1444702148
BH	tasmin	year	HadGEM2-ES	historical	none	2001-12-31	280.1783447266
BH	tasmin	year	HadGEM2-ES	historical	none	2002-12-31	280.2757873535
BH	tasmin	year	HadGEM2-ES	historical	none	2003-12-31	279.5129699707
BH	tasmin	year	HadGEM2-ES	historical	none	2004-12-31	279.7789001465
BH	tasmax	year	CNRM-CM5	historical	none	1950-12-31	294.7209777832
BH	tasmax	year	CNRM-CM5	historical	none	1951-12-31	294.5744018555
