id	cvar	period	gcm	scenario	spag	dt	val
BH	tasmin	year	HadGEM2-ES	rcp45	none	2066-12-31	283.0747070312
BH	tasmin	year	HadGEM2-ES	rcp45	none	2067-12-31	283.1055908203
BH	tasmin	year	HadGEM2-ES	rcp45	none	2068-12-31	283.0330200195
BH	tasmin	year	HadGEM2-ES	rcp45	none	2069-12-31	283.0466308594
BH	tasmin	year	HadGEM2-ES	rcp45	none	2070-12-31	283.4010925293
BH	tasmin	year	HadGEM2-ES	rcp45	none	2071-12-31	282.9906005859
BH	tasmin	year	HadGEM2-ES	rcp45	none	2072-12-31	283.3120422363
BH	tasmin	year	HadGEM2-ES	rcp45	none	2073-12-31	282.5918884277
BH	tasmin	year	HadGEM2-ES	rcp45	none	2074-12-31	283.9411315918
BH	tasmin	year	HadGEM2-ES	rcp45	none	2075-12-31	283.3231811523
BH	tasmin	year	HadGEM2-ES	rcp45	none	2076-12-31	284.4253845215
BH	tasmin	year	HadGEM2-ES	rcp45	none	2077-12-31	283.0472717285
BH	tasmin	year	HadGEM2-ES	rcp45	none	2078-12-31	283.0539245605
BH	tasmin	year	HadGEM2-ES	rcp45	none	2079-12-31	282.9272460938
BH	tasmin	year	HadGEM2-ES	rcp45	none	2080-12-31	282.479309082
BH	tasmax	year	CNRM-CM5	rcp45	none	2040-12-31	297.4448242188
BH	tasmax	year	CNRM-CM5	rcp45	none	2041-12-31	296.4673461914
BH	tasmax	year	CNRM-CM5	rcp45	none	2042-12-31	297.5155029297
BH	tasmax	year	CNRM-CM5	rcp45	none	2043-12-31	297.8621520996
BH	tasmax	year	CNRM-CM5	rcp45	none	2044-12-31	296.6805114746
BH	tasmax	year	CNRM-CM5	rcp45	none	2045-12-31	296.6343383789
BH	tasmax	year	CNRM-CM5	rcp45	none	2046-12-31	296.8066711426
BH	tasmax	year	CNRM-CM5	rcp45	none	2047-12-31	298.216583252
BH	tasmax	year	CNRM-CM5	rcp45	none	2048-12-31	297.8985900879
BH	tasmax	year	CNRM-CM5	rcp45	none	2049-12-31	297.4770202637
BH	tasmax	year	CNRM-CM5	rcp45	none	2050-12-31	297.7298278809
BH	tasmax	year	CNRM-CM5	rcp45	none	2051-12-31	297.1496887207
BH	tasmax	year	CNRM-CM5	rcp45	none	2052-12-31	298.9218444824
BH	tasmax	year	CNRM-CM5	rcp45	none	2053-12-31	297.4580688477
