population	year	tasmax	tasmin	ppt
CC	1996	309.20500030517576	277.1810001373291	1667.2380001544952
CC	1997	307.60999908447263	276.73299994468687	1075.2800064086914
CC	1998	309.0129989624023	274.6569999694824	1785.4750061035156
CC	1999	306.02599945068357	276.09700002670286	886.8409948348999
CC	2000	307.32100143432615	276.31799998283384	1205.5060205459595
CC	2001	307.6649993896484	275.70599999427793	1122.938010275364
CC	2002	308.0220016479492	275.9840001106262	1071.049015045166
CC	2003	309.6369995117187	276.95399990081785	1121.1669993400574
CC	2004	307.6480010986328	276.62099995613096	997.935996055603
CC	2005	309.42000045776365	276.93399991989133	1504.7319757938385
CC	2006	309.843000793457	276.9050001144409	1373.482988834381
CC	2007	307.74199905395506	274.3370000362396	816.3510103225708
CC	2008	308.48200073242185	275.0280000209808	779.6249918937683
CC	2009	308.2559989929199	275.8130001068115	950.2759963572025
CC	2010	307.35999908447263	278.314999961853	1528.3309804201126
CP2	1981	298.17199935913084	266.7439998626709	1699.4099760055542
CP2	1982	294.95299949645994	264.1279996871948	2386.0909724235535
CP2	1983	293.32399978637693	266.0560001373291	2811.25500112772
CP2	1984	296.5630001068115	264.5569995880127	1273.963994026184
CP2	1985	297.2509998321533	264.48899974822996	1167.1739938259125
CP2	1986	297.3409999847412	268.1420001029968	1483.5849857330322
CP2	1987	297.88999977111814	264.68600025177	1014.9729961156845
CP2	1988	298.2899993896484	265.2509998321533	987.9950001239777
CP2	1989	296.3559993743896	264.26699962615965	1269.0480060577393
CP2	1990	296.3759998321533	262.4920000076294	879.2519941329956
CP2	1991	296.22200050354	264.3200000762939	1140.815011024475
CP2	1992	296.6959995269775	263.9970001220703	1329.5389823913574
CP2	1993	294.82200088500974	264.82599964141843	1382.7930035591125
CP2	1994	298.64600028991697	263.51999988555906	1193.4859965443611
CP2	1995	296.2810005187988	267.1179999351501	1982.0099895000458
CP2	1996	297.89600028991697	266.72200002670286	2487.709017753601
CP2	1997	296.6029991149902	264.9699996948242	1223.0240273475647
CP2	1998	297.6560005187988	264.54599990844724	1993.9269845485687
CP2	1999	295.8060001373291	263.91799964904783	1335.8289980888367
CP2	2000	297.07600059509275	266.5370000839233	1404.0369901657104
CP2	2001	298.99099960327146	264.20200004577634	1380.5260150432587
CP2	2002	298.911999130249	264.3180002212524	1303.945975959301
CP2	2003	298.4779991149902	265.3279999732971	1341.6730198860168
CP2	2004	297.10899963378904	264.70700016021726	1174.0610123425722
CP2	2005	298.7880004882812	267.17600002288816	1782.318964958191
CP2	2006	298.3489994049072	263.7430004119873	1471.9089832305908
CP2	2007	298.30299987792966	264.5979999542236	800.2800018787384
CP2	2008	298.35800018310545	264.9109996795654	978.1619812063873
CP2	2009	297.9060005187988	265.8609999656677	1195.1070013819262
CP2	2010	297.1999992370605	267.04599990844724	1695.7780207842588
CP3	1981	297.01800003051756	266.54200019836424	1488.8480000076815
CP3	1982	293.6910003662109	263.943999671936	2014.044035434723
CP3	1983	292.17099990844724	265.81200017929075	2380.2249813079834
CP3	1984	295.5609992980957	264.26900043487547	1078.5799956321716
CP3	1985	296.48600044250486	264.17299976348875	980.3400139808655
CP3	1986	296.48499908447263	267.85699977874754	1295.143012046814
CP3	1987	296.9669994354248	264.4340003967285	882.2110062837601
CP3	1988	297.3249992370605	264.83099975585935	807.8799985647202
CP3	1989	295.60800018310545	263.7850002288818	1148.8490009307861
CP3	1990	295.54299964904783	262.1329998016357	788.9859848022461
CP3	1991	295.31900062561033	264.04200019836424	1009.3690052032471
CP3	1992	295.67700042724607	263.6329998016357	1192.1290111541748
CP3	1993	293.95400085449216	264.4670003890991	1174.2079935073853
CP3	1994	297.80399932861326	263.2269996643066	1032.5639978647232
CP3	1995	295.67599906921384	266.9479998588562	1733.9229958057404
CP3	1996	297.2899993896484	266.5209998130798	2122.3370308876038
CP3	1997	295.9450000762939	264.7179998397827	1147.9750201702118
CP3	1998	296.7549995422363	264.2450002670288	1787.5269763469696
CP3	1999	294.9069999694824	263.5890001296997	1154.712022304535
CP3	2000	296.08199920654295	266.29599990844724	1187.8569860458374
CP3	2001	298.2229999542236	263.91500034332273	1157.9210119694471
CP3	2002	298.1140007019043	264.0599998474121	1088.571988105774
CP3	2003	297.4739994049072	265.01600017547605	1156.7670203447342
CP3	2004	296.0860008239746	264.48399963378904	994.6699859162327
CP3	2005	297.8769992828369	267.0500000953674	1549.8799905776978
CP3	2006	297.3409999847412	263.4740003585815	1315.1339972019196
CP3	2007	297.4100002288818	264.51499977111814	700.6059882380068
CP3	2008	297.3790000915527	264.8060001373291	916.7669906616211
CP3	2009	296.88600006103513	265.711999797821	1060.547009050846
CP3	2010	296.29599990844724	266.833000087738	1584.190001130104
DPR	1981	305.6540016174316	274.1360000014305	1979.3920368552208
DPR	1982	303.5959991455078	271.0779999732971	2299.4459846019745
DPR	1983	302.2859996795654	273.5570000052452	2796.7300112247467
DPR	1984	305.7440017700195	271.2949999809265	1115.5750033855438
DPR	1985	305.0979999542236	272.2679999709129	1028.8550046086311
DPR	1986	305.2639984130859	274.20400002002714	1731.8350176811218
DPR	1987	304.40099945068357	272.14100005626676	1109.8480159640312
DPR	1988	305.93099822998045	273.15	1086.8740099668503
DPR	1989	303.77199974060056	271.5909999847412	1251.5739765167236
DPR	1990	303.64300003051756	270.26100006103513	902.767003774643
DPR	1991	303.7700008392334	272.6960000038147	1278.9969772696495
DPR	1992	305.60600128173826	271.99399998188017	1263.3629874885082
DPR	1993	302.45900001525877	272.3909999966621	1616.7299823760986
DPR	1994	305.2629989624023	272.4830000042915	1168.597999572754
DPR	1995	303.79599990844724	274.7049999475479	2218.8560160398483
DPR	1996	304.83899917602537	274.7339999914169	2502.0279989242554
DPR	1997	303.4709991455078	273.3259999990463	1366.7330244779587
DPR	1998	305.6900009155273	271.8739999771118	2128.3149689137936
DPR	1999	303.1220001220703	273.0459999978542	1304.725997686386
DPR	2000	304.0830005645752	274.372000002861	1579.326982498169
DPR	2001	305.2730010986328	272.65900000333784	1313.0469776391983
DPR	2002	305.923998260498	272.7980000019073	1354.4140014648438
DPR	2003	306.79400100708006	273.8319999814033	1368.1230030059814
DPR	2004	304.9109996795654	273.05500000119207	1175.3269727230072
DPR	2005	306.11599960327146	274.36599996089933	2075.9779720306396
DPR	2006	306.968000793457	272.2920000195503	1755.233006767463
DPR	2007	305.01800003051756	271.8299999475479	1081.8330011367798
DPR	2008	305.9709991455078	272.92199999988077	1005.2519950866699
DPR	2009	305.2219985961914	273.3210000038147	1221.9740084856749
DPR	2010	304.0870002746582	274.747000002861	2043.8439863920212
FR	1981	305.540998840332	272.6379999756813	1421.908983886242
FR	1982	302.4580005645752	268.9269999504089	1437.8339989185333
FR	1983	301.1900009155273	272.310000026226	1955.3140190839767
FR	1984	304.9890007019043	270.0870000362396	762.146008014679
FR	1985	304.5870002746582	270.2289999961853	595.5910090208054
FR	1986	304.8479999542236	272.1689999938011	1141.2029821872711
FR	1987	304.57900085449216	269.99400010108945	789.2540033012629
FR	1988	305.8640007019043	270.68399991989133	667.8469899147749
FR	1989	301.8090003967285	268.42299976348875	939.9830167293549
FR	1990	302.33099975585935	267.4069999694824	662.5920104980469
FR	1991	303.851000213623	270.6439999580383	786.603997707367
FR	1992	304.72900047302244	270.3939999580383	826.2280136346817
FR	1993	301.8489994049072	269.775	1345.771012481302
