id,cvar,gcm,mean_val
LVTR1,tasmax,CNRM-CM5,282.8043479225873
LVTR1,tasmax,CanESM2,282.82039572975816
LVTR1,tasmax,HadGEM2-ES,282.8308410644491
LVTR1,tasmax,MIROC5,282.8223843661218
LVTR1,tasmin,CNRM-CM5,268.0405312278036
LVTR1,tasmin,CanESM2,268.06255049271635
LVTR1,tasmin,HadGEM2-ES,268.0696377840927
LVTR1,tasmin,MIROC5,268.0687971635273
SC,pr,CNRM-CM5,2.4980887272727273e-5
SC,pr,CanESM2,2.4800827272727274e-5
SC,pr,HadGEM2-ES,2.4989190909090908e-5
SC,pr,MIROC5,2.489086909090909e-5
SC,tasmax,CNRM-CM5,295.03391446200544
SC,tasmax,CanESM2,295.0488053755327
SC,tasmax,HadGEM2-ES,295.0608942205254
SC,tasmax,MIROC5,295.06510398170366
SC,tasmin,CNRM-CM5,279.2840959028818
SC,tasmin,CanESM2,279.2947143554709
SC,tasmin,HadGEM2-ES,279.30550648082
SC,tasmin,MIROC5,279.2934259588073
SQ1,pr,CNRM-CM5,3.267844727272727e-5
SQ1,pr,CanESM2,3.200355090909091e-5
SQ1,pr,HadGEM2-ES,3.255476545454545e-5
SQ1,pr,MIROC5,3.229606909090909e-5
SQ1,tasmax,CNRM-CM5,286.80483786843274
SQ1,tasmax,CanESM2,286.8470775257455
SQ1,tasmax,HadGEM2-ES,286.8445207075618
SQ1,tasmax,MIROC5,286.86249889026544
SQ1,tasmin,CNRM-CM5,272.26191739169093
SQ1,tasmin,CanESM2,272.28959738991637
SQ1,tasmin,HadGEM2-ES,272.28775523792365
SQ1,tasmin,MIROC5,272.28283469460183
SQ2,pr,CNRM-CM5,3.455694727272727e-5
SQ2,pr,CanESM2,3.3925494545454547e-5
SQ2,pr,HadGEM2-ES,3.447008181818182e-5
SQ2,pr,MIROC5,3.412057818181818e-5
SQ2,tasmax,CNRM-CM5,286.7578702059618
SQ2,tasmax,CanESM2,286.8014060280527
SQ2,tasmax,HadGEM2-ES,286.79954390092183
SQ2,tasmax,MIROC5,286.81723743785454
SQ2,tasmin,CNRM-CM5,273.2581809303927
SQ2,tasmin,CanESM2,273.2897671786273
SQ2,tasmin,HadGEM2-ES,273.28640580610363
SQ2,tasmin,MIROC5,273.2842540394218
SQ3,pr,CNRM-CM5,4.017375272727273e-5
SQ3,pr,CanESM2,3.941124909090909e-5
SQ3,pr,HadGEM2-ES,4.008620909090909e-5
SQ3,pr,MIROC5,3.9627574545454546e-5
SQ3,tasmax,CNRM-CM5,284.50172230112724
SQ3,tasmax,CanESM2,284.54662475586184
SQ3,tasmax,HadGEM2-ES,284.5438099254255
SQ3,tasmax,MIROC5,284.56205166903453
SQ3,tasmin,CNRM-CM5,272.07611305930726
SQ3,tasmin,CanESM2,272.11132590554547
SQ3,tasmin,HadGEM2-ES,272.10628773082544
SQ3,tasmin,MIROC5,272.10735418145816
TM2,pr,CNRM-CM5,3.323223636363636e-5
TM2,pr,CanESM2,3.300789454545455e-5
TM2,pr,HadGEM2-ES,3.310960909090909e-5
TM2,pr,MIROC5,3.339537090909091e-5
TM2,tasmax,CNRM-CM5,295.4536382501818
TM2,tasmax,CanESM2,295.4630426580273
TM2,tasmax,HadGEM2-ES,295.47401622425457
TM2,tasmax,MIROC5,295.46773126776003
TM2,tasmin,CNRM-CM5,281.05876464843635
TM2,tasmin,CanESM2,281.07492287375453
