id,cvar,gcm,mean_val
LVTR1,tasmax,CNRM-CM5,285.54961897687684
LVTR1,tasmax,CanESM2,286.1421460407549
LVTR1,tasmax,HadGEM2-ES,286.43456659084757
LVTR1,tasmax,MIROC5,285.30054566917806
LVTR1,tasmin,CNRM-CM5,270.8543693728573
LVTR1,tasmin,CanESM2,271.28840823289636
LVTR1,tasmin,HadGEM2-ES,271.3244163699244
LVTR1,tasmin,MIROC5,270.13281250000733
SC,pr,CNRM-CM5,3.034307317073171e-5
SC,pr,CanESM2,2.8643710975609756e-5
SC,pr,HadGEM2-ES,2.4141136585365852e-5
SC,pr,MIROC5,2.3370048780487806e-5
SC,tasmax,CNRM-CM5,297.88647349287805
SC,tasmax,CanESM2,298.5009307861244
SC,tasmax,HadGEM2-ES,298.68159447646707
SC,tasmax,MIROC5,297.9129690775049
SC,tasmin,CNRM-CM5,282.05409836186953
SC,tasmin,CanESM2,282.7337557164683
SC,tasmin,HadGEM2-ES,282.4455391488451
SC,tasmin,MIROC5,281.3978904165878
SQ1,pr,CNRM-CM5,3.9667093902439025e-5
SQ1,pr,CanESM2,3.930195975609756e-5
SQ1,pr,HadGEM2-ES,3.0073634146341465e-5
SQ1,pr,MIROC5,2.7511646341463415e-5
SQ1,tasmax,CNRM-CM5,289.6970713545622
SQ1,tasmax,CanESM2,290.0233470637622
SQ1,tasmax,HadGEM2-ES,290.47219811416466
SQ1,tasmax,MIROC5,290.05180693835973
SQ1,tasmin,CNRM-CM5,275.2219130353195
SQ1,tasmin,CanESM2,275.4416477854695
SQ1,tasmin,HadGEM2-ES,275.66604018792924
SQ1,tasmin,MIROC5,274.73908884932194
SQ2,pr,CNRM-CM5,4.146375e-5
SQ2,pr,CanESM2,4.14011e-5
SQ2,pr,HadGEM2-ES,3.180953414634146e-5
SQ2,pr,MIROC5,2.9225115853658537e-5
SQ2,tasmax,CNRM-CM5,289.70541493485365
SQ2,tasmax,CanESM2,290.0611311749768
SQ2,tasmax,HadGEM2-ES,290.4869593178317
SQ2,tasmax,MIROC5,290.09380247534756
SQ2,tasmin,CNRM-CM5,276.25439267042316
SQ2,tasmin,CanESM2,276.49956866008534
SQ2,tasmin,HadGEM2-ES,276.7350936517537
SQ2,tasmin,MIROC5,275.91279006586586
SQ3,pr,CNRM-CM5,4.795049268292683e-5
SQ3,pr,CanESM2,4.802495e-5
SQ3,pr,HadGEM2-ES,3.689375243902439e-5
SQ3,pr,MIROC5,3.3976396341463414e-5
SQ3,tasmax,CNRM-CM5,287.49360768388414
SQ3,tasmax,CanESM2,287.85570172565366
SQ3,tasmax,HadGEM2-ES,288.2538668004451
SQ3,tasmax,MIROC5,287.88667855611465
SQ3,tasmin,CNRM-CM5,275.103801820339
SQ3,tasmin,CanESM2,275.3583686642549
SQ3,tasmin,HadGEM2-ES,275.5960403070195
SQ3,tasmin,MIROC5,274.85176719107193
TM2,pr,CNRM-CM5,4.113863414634146e-5
TM2,pr,CanESM2,3.943520609756098e-5
TM2,pr,HadGEM2-ES,3.1765329268292683e-5
TM2,pr,MIROC5,3.165092682926829e-5
TM2,tasmax,CNRM-CM5,298.17737300221705
TM2,tasmax,CanESM2,298.76666483064514
TM2,tasmax,HadGEM2-ES,299.05037819467196
TM2,tasmax,MIROC5,298.1000660221756
TM2,tasmin,CNRM-CM5,283.7303284435707
TM2,tasmin,CanESM2,284.2900427841549
TM2,tasmin,HadGEM2-ES,284.16516150498046
TM2,tasmin,MIROC5,283.2123301436293
UCD_Garden,pr,CNRM-CM5,1.9390779268292682e-5
UCD_Garden,pr,CanESM2,1.9389526829268294e-5
UCD_Garden,pr,HadGEM2-ES,1.4937129268292682e-5
UCD_Garden,pr,MIROC5,1.3980424390243903e-5
UCD_Garden,tasmax,CNRM-CM5,299.1365345280378
UCD_Garden,tasmax,CanESM2,300.0725752667683
UCD_Garden,tasmax,HadGEM2-ES,299.99693893805124
UCD_Garden,tasmax,MIROC5,299.1200367997293
UCD_Garden,tasmin,CNRM-CM5,283.9269398014707
UCD_Garden,tasmin,CanESM2,284.7958589879561
UCD_Garden,tasmin,HadGEM2-ES,284.12272048577927
UCD_Garden,tasmin,MIROC5,283.3639649181817
WL1,pr,CNRM-CM5,4.793526707317073e-5
WL1,pr,CanESM2,4.6960691463414634e-5
WL1,pr,HadGEM2-ES,3.851721951219512e-5
WL1,pr,MIROC5,3.788770365853659e-5
WL1,tasmax,CNRM-CM5,290.99943468047314
WL1,tasmax,CanESM2,291.4605556581073
WL1,tasmax,HadGEM2-ES,291.6986359386866
WL1,tasmax,MIROC5,291.0926320145805
WL1,tasmin,CNRM-CM5,276.640355552111
WL1,tasmin,CanESM2,276.8808292295866
WL1,tasmin,HadGEM2-ES,276.8535967570988
WL1,tasmin,MIROC5,276.04906631097685
WL2,pr,CNRM-CM5,4.939770487804878e-5
WL2,pr,CanESM2,4.824565e-5
WL2,pr,HadGEM2-ES,3.939770853658537e-5
WL2,pr,MIROC5,3.921780731707317e-5
WL2,tasmax,CNRM-CM5,290.30116495272074
WL2,tasmax,CanESM2,290.7566401784012
WL2,tasmax,HadGEM2-ES,291.0074451725634
WL2,tasmax,MIROC5,290.37556792468905
WL2,tasmin,CNRM-CM5,276.10609026652685
WL2,tasmin,CanESM2,276.37608560702193
WL2,tasmin,HadGEM2-ES,276.3524437881134
WL2,tasmin,MIROC5,275.50036248928046
WL2_Garden,pr,CNRM-CM5,4.939770487804878e-5
WL2_Garden,pr,CanESM2,4.824565e-5
WL2_Garden,pr,HadGEM2-ES,3.939770853658537e-5
WL2_Garden,pr,MIROC5,3.921780731707317e-5
WL2_Garden,tasmax,CNRM-CM5,290.30116495272074
WL2_Garden,tasmax,CanESM2,290.7566401784012
WL2_Garden,tasmax,HadGEM2-ES,291.0074451725634
WL2_Garden,tasmax,MIROC5,290.37556792468905
WL2_Garden,tasmin,CNRM-CM5,276.10609026652685
WL2_Garden,tasmin,CanESM2,276.37608560702193
WL2_Garden,tasmin,HadGEM2-ES,276.3524437881134
WL2_Garden,tasmin,MIROC5,275.50036248928046
WR,pr,CNRM-CM5,6.730765121951219e-5
WR,pr,CanESM2,6.593314146341464e-5
WR,pr,HadGEM2-ES,5.357422804878049e-5
WR,pr,MIROC5,5.4236478048780487e-5
WR,tasmax,CNRM-CM5,294.39975161668536
WR,tasmax,CanESM2,294.9637235315829
WR,tasmax,HadGEM2-ES,295.23126444002685
WR,tasmax,MIROC5,294.4625690739366
WR,tasmin,CNRM-CM5,281.98493771436705
WR,tasmin,CanESM2,282.5008232302854
WR,tasmin,HadGEM2-ES,282.4225679723171
WR,tasmin,MIROC5,281.5862668665439
WV,pr,CNRM-CM5,3.6923839024390246e-5
WV,pr,CanESM2,3.5691113414634144e-5
WV,pr,HadGEM2-ES,3.0031470731707318e-5
WV,pr,MIROC5,3.130150609756098e-5
WV,tasmax,CNRM-CM5,296.0317334430988
WV,tasmax,CanESM2,296.8937872909927
WV,tasmax,HadGEM2-ES,296.95014655880607
WV,tasmax,MIROC5,295.62245215439026
WV,tasmin,CNRM-CM5,278.2975207072939
WV,tasmin,CanESM2,279.1606088033549
WV,tasmin,HadGEM2-ES,279.2572892351866
WV,tasmin,MIROC5,277.71254041718294
YO1,pr,CNRM-CM5,4.173441585365854e-5
YO1,pr,CanESM2,4.253195487804878e-5
YO1,pr,HadGEM2-ES,3.377503170731707e-5
YO1,pr,MIROC5,3.1804645121951216e-5
YO1,tasmax,CNRM-CM5,289.21307038097075
YO1,tasmax,CanESM2,289.59723198123413
YO1,tasmax,HadGEM2-ES,289.9424077475927
YO1,tasmax,MIROC5,289.5165133592585
YO1,tasmin,CNRM-CM5,273.7295282875549
YO1,tasmin,CanESM2,274.1018702809427
YO1,tasmin,HadGEM2-ES,274.07838030559145
YO1,tasmin,MIROC5,273.0644527528354
YO11,pr,CNRM-CM5,3.112884878048781e-5
YO11,pr,CanESM2,3.2988179268292685e-5
YO11,pr,HadGEM2-ES,2.5014562195121953e-5
YO11,pr,MIROC5,2.357838536585366e-5
YO11,tasmax,CNRM-CM5,285.51402506013903
YO11,tasmax,CanESM2,285.6680647687134
YO11,tasmax,HadGEM2-ES,286.0753661365049
YO11,tasmax,MIROC5,285.6910132431366
YO11,tasmin,CNRM-CM5,269.4950457317061
YO11,tasmin,CanESM2,269.53484363090854
YO11,tasmin,HadGEM2-ES,269.68677651009756
YO11,tasmin,MIROC5,268.6614941852866
YO4,pr,CNRM-CM5,3.985773048780488e-5
YO4,pr,CanESM2,3.958600975609756e-5
YO4,pr,HadGEM2-ES,3.182794512195122e-5
YO4,pr,MIROC5,3.068398170731707e-5
YO4,tasmax,CNRM-CM5,291.1771448647134
YO4,tasmax,CanESM2,291.5437302007927
YO4,tasmax,HadGEM2-ES,291.85588222596584
YO4,tasmax,MIROC5,291.33153961925854
YO4,tasmin,CNRM-CM5,276.05668565703417
YO4,tasmin,CanESM2,276.44212118009636
YO4,tasmin,HadGEM2-ES,276.3984214968817
YO4,tasmin,MIROC5,275.3248276128951
YO7,pr,CNRM-CM5,4.6359943902439026e-5
YO7,pr,CanESM2,4.712169268292683e-5
YO7,pr,HadGEM2-ES,3.732458292682927e-5
YO7,pr,MIROC5,3.543976585365854e-5
YO7,tasmax,CNRM-CM5,289.43733401414755
YO7,tasmax,CanESM2,289.81650785120246
YO7,tasmax,HadGEM2-ES,290.13360149104636
YO7,tasmax,MIROC5,289.691561815222
YO7,tasmin,CNRM-CM5,273.5702670957988
YO7,tasmin,CanESM2,273.96890221572073
YO7,tasmin,HadGEM2-ES,273.9183375660939
YO7,tasmin,MIROC5,272.8212630109122
YO8,pr,CNRM-CM5,5.101367682926829e-5
YO8,pr,CanESM2,5.1721013414634144e-5
YO8,pr,HadGEM2-ES,4.062374756097561e-5
YO8,pr,MIROC5,3.861630243902439e-5
YO8,tasmax,CNRM-CM5,286.905470685261
YO8,tasmax,CanESM2,287.22470688238536
YO8,tasmax,HadGEM2-ES,287.56667085973413
YO8,tasmax,MIROC5,287.12516598584637
YO8,tasmin,CNRM-CM5,271.2775112245146
YO8,tasmin,CanESM2,271.59331977658417
YO8,tasmin,HadGEM2-ES,271.57900293862804
YO8,tasmin,MIROC5,270.5274926162366
