population	model	scenario	offset	Elevation	Lat	Long
LV3	cnrm-esm2-1	ssp370	2.5297106323127956	2353.550747	40.47917	-121.52311
LVTR1	cnrm-esm2-1	ssp370	2.390277158609196	2741.38982	40.47917	-121.5032
SC	cnrm-esm2-1	ssp370	1.2614057498993463	421.5178299	38.41167	-120.73583000000001
SQ1	cnrm-esm2-1	ssp370	1.2696706512473808	1921.036585	36.56435	-118.7764
SQ2	cnrm-esm2-1	ssp370	1.3491914631346338	1934.45122	36.66557	-118.83543
SQ3	cnrm-esm2-1	ssp370	0.9401626899601141	2373.170732	36.72109	-118.84933
TM2	cnrm-esm2-1	ssp370	1.5863505937166442	379.1526973	39.59255	-121.55072
WL1	cnrm-esm2-1	ssp370	1.4902938378139978	1613.837245	38.78608	-120.2143
WL2	cnrm-esm2-1	ssp370	1.7912166905860487	2020.115818	38.8263	-120.25242
WR	cnrm-esm2-1	ssp370	1.3913325928897244	1158	39.34346	-120.80659
YO11	cnrm-esm2-1	ssp370	1.210852720980987	2872.295032	37.93844	-119.23157
YO4	cnrm-esm2-1	ssp370	2.15563595412838	2157.57391	37.76378	-119.77244
YO7	cnrm-esm2-1	ssp370	2.0033113677043684	2469.978665	37.80903	-119.56605
YO8	cnrm-esm2-1	ssp370	1.5022849318471694	2590.97836	37.81117	-119.48624
BH	ec-earth3-veg	ssp245	0.3840230846151422	511.4294422	37.40985	-119.96458
CC	ec-earth3-veg	ssp245	0.7104080807381162	313	39.58597	-121.43311
CP2	ec-earth3-veg	ssp245	1.1801891857019842	2244.132886	38.66169	-120.13065
CP3	ec-earth3-veg	ssp245	0.8699878248581212	2266.382201	38.70649	-120.08797
DPR	ec-earth3-veg	ssp245	1.536678987464016	1018.591893	39.22846	-120.81518
FR	ec-earth3-veg	ssp245	0.4446073160176113	787	40.01362	-121.18498
IH	ec-earth3-veg	ssp245	1.1071946058267594	454.1298385	39.09332	-120.92114
LV1	ec-earth3-veg	ssp245	1.2515743569746391	2593.416641	40.47471	-121.50486
LV3	ec-earth3-veg	ssp245	1.252371718040973	2353.550747	40.47917	-121.52311
LVTR1	ec-earth3-veg	ssp245	1.4558462649517165	2741.38982	40.47917	-121.5032
SC	ec-earth3-veg	ssp245	0.729216715970849	421.5178299	38.41167	-120.73583000000001
SQ1	ec-earth3-veg	ssp245	0.9273281588192147	1921.036585	36.56435	-118.7764
SQ2	ec-earth3-veg	ssp245	1.4266313649087958	1934.45122	36.66557	-118.83543
SQ3	ec-earth3-veg	ssp245	1.1382781753680575	2373.170732	36.72109	-118.84933
TM2	ec-earth3-veg	ssp245	0.6670957043507152	379.1526973	39.59255	-121.55072
WL1	ec-earth3-veg	ssp245	1.0267249565938277	1613.837245	38.78608	-120.2143
WL2	ec-earth3-veg	ssp245	1.4952390687936166	2020.115818	38.8263	-120.25242
WR	ec-earth3-veg	ssp245	1.3467110721192104	1158	39.34346	-120.80659
YO11	ec-earth3-veg	ssp245	0.5309223462558746	2872.295032	37.93844	-119.23157
YO4	ec-earth3-veg	ssp245	1.9466859869755386	2157.57391	37.76378	-119.77244
YO7	ec-earth3-veg	ssp245	1.279947553521031	2469.978665	37.80903	-119.56605
YO8	ec-earth3-veg	ssp245	0.9288299852168223	2590.97836	37.81117	-119.48624
BH	ec-earth3-veg	ssp370	3.0055332122204446	511.4294422	37.40985	-119.96458
CC	ec-earth3-veg	ssp370	3.859673577276947	313	39.58597	-121.43311
CP2	ec-earth3-veg	ssp370	2.7470917374563535	2244.132886	38.66169	-120.13065
CP3	ec-earth3-veg	ssp370	2.6845460522152154	2266.382201	38.70649	-120.08797
DPR	ec-earth3-veg	ssp370	4.23986789364443	1018.591893	39.22846	-120.81518
FR	ec-earth3-veg	ssp370	4.949789343991733	787	40.01362	-121.18498
IH	ec-earth3-veg	ssp370	4.174454751837645	454.1298385	39.09332	-120.92114
LV1	ec-earth3-veg	ssp370	3.8419368532630824	2593.416641	40.47471	-121.50486
LV3	ec-earth3-veg	ssp370	3.8949134802826433	2353.550747	40.47917	-121.52311
LVTR1	ec-earth3-veg	ssp370	3.5205157585486178	2741.38982	40.47917	-121.5032
SC	ec-earth3-veg	ssp370	3.156726982358821	421.5178299	38.41167	-120.73583000000001
SQ1	ec-earth3-veg	ssp370	3.456115748561422	1921.036585	36.56435	-118.7764
SQ2	ec-earth3-veg	ssp370	2.539602475073958	1934.45122	36.66557	-118.83543
SQ3	ec-earth3-veg	ssp370	2.1068133738711907	2373.170732	36.72109	-118.84933
TM2	ec-earth3-veg	ssp370	3.9246714452596017	379.1526973	39.59255	-121.55072
WL1	ec-earth3-veg	ssp370	3.4738592282972744	1613.837245	38.78608	-120.2143
WL2	ec-earth3-veg	ssp370	3.6054277015082157	2020.115818	38.8263	-120.25242
WR	ec-earth3-veg	ssp370	3.689187420882041	1158	39.34346	-120.80659
YO11	ec-earth3-veg	ssp370	2.6958370933125995	2872.295032	37.93844	-119.23157
YO4	ec-earth3-veg	ssp370	4.105540095080291	2157.57391	37.76378	-119.77244
YO7	ec-earth3-veg	ssp370	3.796979889479362	2469.978665	37.80903	-119.56605
YO8	ec-earth3-veg	ssp370	3.2737105083004594	2590.97836	37.81117	-119.48624
BH	miroc6	ssp245	2.29676722469488	511.4294422	37.40985	-119.96458
CC	miroc6	ssp245	0.20017598368623948	313	39.58597	-121.43311
CP2	miroc6	ssp245	2.488248593568767	2244.132886	38.66169	-120.13065
CP3	miroc6	ssp245	2.283856524418601	2266.382201	38.70649	-120.08797
DPR	miroc6	ssp245	1.8931082664822245	1018.591893	39.22846	-120.81518
FR	miroc6	ssp245	0.8814412267959758	787	40.01362	-121.18498
IH	miroc6	ssp245	1.5684505448245247	454.1298385	39.09332	-120.92114
LV1	miroc6	ssp245	1.2050612382598298	2593.416641	40.47471	-121.50486
LV3	miroc6	ssp245	1.154665323719346	2353.550747	40.47917	-121.52311
LVTR1	miroc6	ssp245	1.5689703992949693	2741.38982	40.47917	-121.5032
SC	miroc6	ssp245	1.942988621361934	421.5178299	38.41167	-120.73583000000001
SQ1	miroc6	ssp245	1.8341855565680754	1921.036585	36.56435	-118.7764
SQ2	miroc6	ssp245	1.8523263949299893	1934.45122	36.66557	-118.83543
SQ3	miroc6	ssp245	1.406547241730145	2373.170732	36.72109	-118.84933
TM2	miroc6	ssp245	0.21382297085706153	379.1526973	39.59255	-121.55072
WL1	miroc6	ssp245	2.5724377305073443	1613.837245	38.78608	-120.2143
WL2	miroc6	ssp245	3.0875438887130087	2020.115818	38.8263	-120.25242
WR	miroc6	ssp245	1.3100786207980755	1158	39.34346	-120.80659
YO11	miroc6	ssp245	4.095244805147087	2872.295032	37.93844	-119.23157
YO4	miroc6	ssp245	3.985975209535875	2157.57391	37.76378	-119.77244
YO7	miroc6	ssp245	3.5627549224308024	2469.978665	37.80903	-119.56605
YO8	miroc6	ssp245	3.5342680018848536	2590.97836	37.81117	-119.48624
BH	miroc6	ssp370	2.968203964388646	511.4294422	37.40985	-119.96458
CC	miroc6	ssp370	1.1775788343625193	313	39.58597	-121.43311
CP2	miroc6	ssp370	2.4700027625631527	2244.132886	38.66169	-120.13065
CP3	miroc6	ssp370	2.634641679881074	2266.382201	38.70649	-120.08797
DPR	miroc6	ssp370	2.6919946142976117	1018.591893	39.22846	-120.81518
